version,orignGuid,generateGuid,assetPath,description
0,3039fd410183b3340914757f282d62af,12bfb78f25938cc44b9890ac60e02ffa,Packages/com.v.gameframework.resources/Runtime/Official/Partyroyal Framework/RawResource/FBX/Model FBX/Shape/Arch.fbx,
0,2dc630e79131b084897a3726b9c0ea8d,f77fb82d2fd4ba34cb3faca6061cc2dd,Packages/com.v.gameframework.resources/Runtime/Official/Partyroyal Framework/RawResource/Animation/Animator/UI/Arrow.controller,
0,1f5f57c2469aa5f4a952aad47bcbdd08,d23c0867a746d7a419b9d5fae35468b2,Packages/com.v.gameframework.resources/Runtime/Official/Partyroyal Framework/RawResource/Animation/Animation Clip/UI/Arrow_Name_Pos.anim,
0,f1626a55f1500324ba7c0a098365f604,b88d544a6dca0764faaa7ffd9d177e61,Packages/com.v.gameframework.resources/Runtime/Official/Partyroyal Framework/RawResource/Audio/BGM/BGM_ColorSwitch_Run.wav,
0,8960cf8012d05d1498fae5f0464f15e3,95930d4868f34204a8873515173ac9bf,Packages/com.v.gameframework.resources/Runtime/Official/Partyroyal Framework/__$System/StarCrafting/Base Item Data.asset,
0,36aed9ed147e8c44dac6f866aff7766e,060dba02a4a05224bb866e7c9cad2213,Packages/com.v.gameframework.resources/Runtime/Official/Partyroyal Framework/__$System/Player/CustomData_0/Base Penguin.asset,
0,0c68536f70da0b84284de60e64221d39,3fe61b113b0f9eb4fabcff5dd3b07019,Packages/com.v.gameframework.resources/Runtime/Official/Partyroyal Framework/__$System/Player/CustomData_0/Base Penguin_Controller.asset,
0,fa3d7c9f353d6db4dab0b4129714103c,0e88e7f233490c049bdb404ac0a6b679,Packages/com.v.gameframework.resources/Runtime/Official/Partyroyal Framework/__$System/Player/CustomData_0/Base Penguin_Model.asset,
0,8f039b326ee9e0547903a05e16d763da,c5e79d7aadf8d5546a4aced075a03de3,Packages/com.v.gameframework.resources/Runtime/Official/Partyroyal Framework/__$System/Player/CustomData_0/Base Penguin_Player.asset,
0,a8799560c05a6d74b90be03a7a98492f,555f4b9fb5927374a923c3dd7a7b9bcc,Packages/com.v.gameframework.resources/Runtime/Official/Partyroyal Framework/__$System/Stage/Base Stage.asset,
0,cfc51834e0299214aa773e2b5f348e1b,b4c94f9ca773b9b46abd1071aa066ab9,Packages/com.v.gameframework.resources/Runtime/Official/Partyroyal Framework/Prop/ModelProp/BigDropBomb.prefab,
0,7b71d19e7be7d1a46ba03eafb692b550,c7ec2eba61ce94245a7fa5ceaafab48c,Packages/com.v.gameframework.resources/Runtime/Official/Partyroyal Framework/RawResource/Effect/Item/BoomEffect.prefab,
